Rank,Title,Artist,Year,BPM,Genre,Music Video,Release Season
69,Efecto,Bad Bunny,2022,98,Pop,1,Spring
72,Oh My God,Adele,2022,94,Pop,1,Fall
73,Better Days,"Neiked, Mae Muller & Polo G",2022,100,Pop,0,Fall
74,Meet Me at Our Spot,The Anexiety: Willow & Tyler Cole,2022,95,Pop,1,Fall
75,Fingers Crossed,Lauren Spencer Smith,2022,109,Pop,1,Winter
76,All Too Well (Taylor's Version),Taylor Swift,2022,186,Pop,1,Fall
77,Party,Bad Bunny & Rauw Alejandro,2022,97,Pop,1,Fall
78,Despues de la Playa,Bad Bunny,2022,78,Pop,1,Spring
80,Rockin Around the Christmas Tree,Brenda Lee,2022,67,Pop,1,Fall
82,Take My Name,Parmalee,2022,164,Pop,1,Spring
85,Like I Love Country Music,Kane Brown,2022,125,Pop,1,Spring
86,Jingle Bell Rock,Bobby Helms,2022,120,Pop,0,Fall
87,Ojitos Lindos,Bad Bunny & Bomba Estero,2022,80,Pop,1,Spring
89,A Holly Jolly Christmas,Burl Ives,2022,140,Pop,0,Fall
90,Kiss Me More,Doja Cat ft. SZA,2022,111,Pop,1,Spring
91,She Likes It,Russell Dickerson ft. Jake Scott,2022,127,Pop,1,Winter
94,She All I Wanna Be,Tate McRae,2022,160,Pop,1,Winter
98,Unholy,Sam Smith & Kim Petras,2022,131,Pop,1,Fall
1,Last Night,Morgan Wallen,2023,102,Pop,1,Winter
2,Flowers,Miley Cyrus,2023,118,Pop,1,Winter
3,Kill Bill,SZA,2023,89,Pop,1,Winter
4,Anti Hero,Taylor Swift,2023,97,Pop,1,Fall
6,Calm Down,Rema & Selena Gomez,2023,107,Pop,1,Winter
10,Im Good (Blue),David Guetta & Bebe Rexha,2023,128,Pop,1,Summer
11,Unholy,Sam Smith & Kim Petras,2023,131,Pop,1,Fall
15,As it Was,Harry Styles,2023,174,Pop,1,Spring
18,Cruel Summer,Taylor Swift,2023,170,Pop,1,Spring
20,Boy's a Liar Pt.2,PinkPantheress & Ice Spice,2023,132,Pop,1,Winter
26,Ella Balila Sola,Elsabon Armando & Peso Pluma,2023,100,Pop,1,Spring
27,Karma,Taylor Swift ft. Ice Spice e,2023,90,Pop,1,Spring
28,Just Wanna Rock,Lil Uzi Vert,2023,150,Pop,1,Summer
29,Cuff It,Beyonce,2023,115,Pop,1,Fall
30,Vampire,Olivia Rodrigo,2023,138,Pop,0,Summer
32,Lavender Haze,Taylor Swift,2023,97,Pop,1,Fall
35,Dance the Night,Dua Lipa,2023,110,Pop,1,Spring
40,La Bebe,Yng Lvcas & Peso Pluma,2023,92,Pop,1,Winter
41,Golden Hour,Jvke,2023,84,Pop,1,Summer
44,Cupid,Fifty Fifty,2023,120,Pop,1,Winter
49,Un x100to,Grupo Frontera & Bad Bunny,2023,83,Pop,1,Spring
50,Until I Found You,Stephen Sanchez,2023,101,Pop,1,Fall
53,Made You Look,Megan Trainor,2023,145,Pop,1,Fall
55,All I Want Christmas Is You,Mariah Carey,2023,150,Pop,1,Fall
57,Chemical,Post Malone,2023,90,Pop,1,Spring
60,Rockin Around the Christmas Tree,Brenda Lee,2023,140,Pop,1,Fall
62,Daylight,David Kushner,2023,120,Pop,1,Spring
64,Eyes Closed,Ed Sheeran,2023,123,Pop,1,Spring
65,TQG,Karol G & Shakira,2023,92,Pop,1,Winter
68,Jingle Bell Rock,Bobby Helms,2023,120,Pop,0,Fall
71,A Holly Jolly Christmas,Burl Ives,2023,140,Pop,1,Fall
73,Bebe Dame,Fuerza Regida & Grupo Frontera,2023,90,Pop,1,Winter
80,Dial Drunk,Noah Kahan & Post Malone,2023,140,Pop,1,Summer
81,What Was I Made For,Billie Eilish,2023,78,Pop,1,Summer
82,Seven,Jung Kook ft. Latto,2023,125,Pop,1,Summer
84,Last Christmas,Wham!,2023,108,Pop,1,Winter
86,Por Las Noches,Peso Pluma,2023,90,Pop,1,Summer
90,PRC,Peso Pluma & Natanael Cano,2023,92,Pop,1,Winter
96,"Bzerp Music Sessions, Vol. 53",Bizarrap & Shakira,2023,123,Pop,1,Winter
99,Bloody Mary,Lady Gaga,2023,124,Pop,0,Winter
3,Beautiful Things,Benson Boone,2024,105,Pop,1,Winter
5,Lovin on Me,Jack Harlow,2024,105,Pop,1,Fall
7,Espresso,Sabrina Carpenter,2024,104,Pop,1,Spring
10,Too Sweet,Hozier,2024,117,Pop,1,Spring
12,Cruel Summer,Taylor Swift,2024,170,Pop,1,Summer
15,Birds of a Feather,Billie Eilish,2024,105,Pop,1,Spring
18,"Good Luck, Babe!",Chappell Roan,2024,117,Pop,1,Spring
22,Fortnight,Taylor Swift featuring Post Malone,2024,192,Pop,1,Spring
25,Feather,Sabrina Carpenter,2024,124,Pop,1,Summer
26,We Can't Be Friends (Wait for Your Love),Ariana Grande,2024,116,Pop,1,Spring
33,Is It Over Now?,Taylor Swift,2024,100,Pop,1,Fall
35,I Can Do It with a Broken Heart,Taylor Swift,2024,130,Pop,1,Summer
41,Slow It Down,Benson Boone,2024,181,Pop,1,Spring
43,Houdini,Dua Lipa,2024,117,Pop,1,Fall
46,What Was I Made For?,Billie Eilish,2024,79,Pop,1,Summer
47,End of Beginning,Djo,2024,160,Pop,1,Spring
48,Lunch,Billie Eilish,2024,125,Pop,1,Spring
53,Hot to Go!,Chappell Roan,2024,140,Pop,1,Summer
54,All I Want for Christmas Is You,Mariah Carey,2024,150,Pop,1,Fall
57,Vampire,Olivia Rodrigo,2024,137,Pop,1,Summer
59,Rockin' Around the Christmas Tree,Brenda Lee,2024,67,Pop,1,Fall
62,Die with a Smile,Lady Gaga and Bruno Mars,2024,158,Pop,1,Summer
63,I Like the Way You Kiss Me,Artemas,2024,152,Pop,1,Spring
69,Flowers,Miley Cyrus,2024,118,Pop,1,Winter
73,Stargazing,Myles Smith,2024,124,Pop,1,Spring
74,Last Christmas,Wham!,2024,108,Pop,1,Winter
78,Lil Boo Thang,Paul Russell,2024,114,Pop,1,Summer
86,Taste,Sabrina Carpenter,2024,113,Pop,1,Summer
89,Wildflower,Billie Eilish,2024,148,Pop,1,Spring
92,"Yes, And?",Ariana Grande,2024,119,Pop,1,Winter
93,Exes,Tate McRae,2024,137,Pop,1,Fall
94,A Holly Jolly Christmas,Burl Ives,2024,140,Pop,1,Fall
99,Down Bad,Taylor Swift,2024,160,Pop,0,Spring
100,Dance the Night,Dua Lipa,2024,110,Pop,1,Spring
1,Die with a Smile,Lady Gaga and Bruno Mars,2025,158,Pop,1,Summer
5,Birds of a Feather,Billie Eilish,2025,105,Pop,1,Spring
6,Beautiful Things,Benson Boone,2025,105,Pop,1,Winter
7,Ordinary,Alex Warren,2025,112,Pop,1,Winter
9,APT.,Rosé and Bruno Mars,2025,149,Pop,1,Fall
10,Pink Pony Club,Chappell Roan,2025,107,Pop,1,Spring
12,Espresso,Sabrina Carpenter,2025,104,Pop,1,Spring
14,That's So True,Gracie Abrams,2025,109,Pop,1,Fall
19,Taste,Sabrina Carpenter,2025,113,Pop,1,Summer
25,Golden,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,123,Pop,1,Summer
26,Wildflower,Billie Eilish,2025,148,Pop,1,Spring
27,What I Want,Morgan Wallen featuring Tate McRae,2025,116,Pop,0,Spring
28,Messy,Lola Young,2025,111,Pop,1,Spring
29,Stargazing,Myles Smith,2025,124,Pop,1,Spring
31,"Good Luck, Babe!",Chappell Roan,2025,117,Pop,1,Spring
32,No One Noticed,The Marías,2025,98,Pop,1,Spring
34,Too Sweet,Hozier,2025,117,Pop,1,Spring
37,Sorry I'm Here for Someone Else,Benson Boone,2025,150,Pop,0,Winter
42,Undressed,Sombr,2025,116,Pop,1,Spring
44,Back to Friends,Sombr,2025,93,Pop,1,Winter
46,Sports Car,Tate McRae,2025,107,Pop,1,Winter
47,Mystical Magical,Benson Boone,2025,120,Pop,1,Spring
52,Blue Strips,Jessie Murph,2025,134,Pop,1,Spring
54,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",2025,90,Pop,1,Summer
56,Abracadabra,Lady Gaga,2025,126,Pop,1,Winter
59,All I Want for Christmas Is You,Mariah Carey,2025,150,Pop,1,Fall
60,Daisies,Justin Bieber,2025,110,Pop,1,Summer
61,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",2025,126,Pop,1,Summer
65,Last Christmas,Wham!,2025,108,Pop,1,Winter
67,Rockin' Around the Christmas Tree,Brenda Lee,2025,67,Pop,1,Fall
68,How It's Done,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,160,Pop,1,Winter
74,Bad Dreams,Teddy Swims,2025,125,Pop,1,Fall
76,BMF,SZA,2025,128,Pop,0,Winter
82,Revolving Door,Tate McRae,2025,148,Pop,1,Spring
83,What It Sounds Like,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,121,Pop,1,Summer
92,Free,Ejae and Andrew Choi,2025,140,Pop,1,Summer
93,Takedown,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,140,Pop,1,Summer
