Rank ,Title ,Artist,Year ,BPM,Genre,Release Date ,Music Video 
71,Shape Of You,Ed Sheeran,2018,96,Pop,2017-01-06,1
72,I Get The Bag,Gucci Mane ft. Migos,2018,140,Hip-Hop,2017-08-18,1
73,No Brainer,DJ Khaled ft. Justin Bieber & Chance The Rapper & Quavo,2018,136,Pop,2018-07-27,1
74,Plain Jane,A$AP Ferg,2018,85,Hip-Hop,2017-06-13,1
75,Sky Walker,Miguel ft. Travis Scott,2018,146,Hip-Hop,2017-08-25,1
76,Marry Me,Thomas Rhett,2018,85,Country,2017-11-17,1
77,Eastside,benny blanco & Halsey & Khalid,2018,90,Pop,2018-07-12,1
78,Call Out My Name,The Weeknd,2018,134,Pop,2018-03-30,1
79,King's Dead,Jay Rock ft. Kendrick Lamar & Future,2018,164,Hip-Hop,2018-01-11,1
80,Happier,Marshmello ft. Bastille,2018,100,Pop,2018-08-17,1
81,Te Bote,"Nio Garcia, Casper Magico & Bad Bunny",2018,96,Pop,2018-04-13,1
82,Simple,Florida Georgia Line,2018,100,Country,2018-06-01,1
83,Lemon,N.E.R.D. ft. Rihanna,2018,95,Hip-Hop,2017-11-01,1
84,1-800-273-8255,Logic ft. Alessia Cara & Khalid,2018,100,Pop,2017-04-28,1
85,Say Something,Justin Timberlake ft. Chris Stapleton,2018,97,Pop,2018-01-25,1
86,I'm Upset,Drake,2018,150,Hip-Hop,2018-05-26,1
87,Get Along,Kenny Chesney,2018,93,Country,2018-04-06,1
88,Moonlight,XXXTentacion,2018,138,Hip-Hop,2018-03-16,1
89,What Lovers Do,Maroon 5 ft. SZA,2018,110,Pop,2017-08-30,1
90,X,Nicky Jam & J Balvin,2018,90,Pop,2018-03-02,1
91,Outside Today,YoungBoy Never Broke Again,2018,120,Hip-Hop,2018-01-11,1
92,Trip,Ella Mai,2018,162,Hip-Hop,2018-08-03,1
93,Dura,Daddy Yankee,2018,95,Pop,2018-01-18,1
94,Changes,XXXTentacion,2018,65,Hip-Hop,2018-03-02,1
95,Mercy,Brett Young,2018,106,Country,2017-11-13,1
96,One Number Away,Luke Combs,2018,144,Country,2018-01-08,1
97,Powerglide,Rae Sremmurd,2018,87,Hip-Hop,2018-03-01,1
98,IDGAF,Dua Lipa,2018,97,Pop,2018-01-12,1
99,Mi Gente,J. Balvin & Willy William,2018,105,Pop,2017-06-30,1
100,Believer,Imagine Dragons,2018,125,Pop,2017-02-01,1
1,Old Town Road [Remix],Lil Nas X ft. Billy Ray Cyrus,2019,136,Hip-Hop,2019-04-05,1
2,Sunflower,Post Malone & Swae Lee,2019,90,Pop,2018-10-18,1
3,Without Me,Halsey,2019,170,Pop,2018-10-04,1
4,Bad Guy,Billie Eilish,2019,135,Pop,2019-03-29,1
5,Wow.,Post Malone,2019,100,Hip-Hop,2018-12-24,1
6,Happier,Marshmello & Bastille,2019,100,Pop,2018-08-17,1
7,7 Rings,Ariana Grande,2019,70,Pop,2019-01-18,1
8,Talk,Khalid,2019,136,R&B,2019-02-07,1
9,Sicko Mode,Travis Scott,2019,155,Hip-Hop,2018-08-03,1
10,Sucker,Jonas Brothers,2019,138,Pop,2019-03-01,1
11,High Hopes,Panic! At The Disco,2019,82,Pop,2018-05-23,1
12,Thank U Next,Ariana Grande,2019,107,Pop,2018-11-03,1
13,Truth Hurts,Lizzo,2019,158,Pop,2017-09-19,1
14,Dancing With A Stranger,Sam Smith & Normani,2019,103,Pop,2019-01-11,1
15,Señorita,Shawn Mendes & Camila Cabello,2019,117,Pop,2019-06-21,1
16,I Don't Care,Ed Sheeran & Justin Bieber,2019,102,Pop,2019-05-10,1
17,Eastside,benny blanco Halsey & Khalid,2019,89,Pop,2018-07-12,1
18,Going Bad,Meek Mill ft. Drake,2019,86,Hip-Hop,2018-11-30,1
19,Shallow,Lady Gaga & Bradley Cooper,2019,96,Pop,2018-09-27,1
20,Better,Khalid,2019,98,Pop,2018-09-14,1
21,No Guidance,Chris Brown ft. Drake,2019,93,R&B,2019-06-08,1
22,Girls Like You,Maroon 5 ft. Cardi B,2019,125,Pop,2018-05-30,1
23,Sweet But Psycho,Ava Max,2019,133,Pop,2018-08-17,1
24,Suge,DaBaby,2019,151,Hip-Hop,2019-03-01,1
25,Middle Child,J. Cole,2019,124,Hip-Hop,2019-01-23,1
26,Drip Too Hard,Lil Baby & Gunna,2019,113,Hip-Hop,2018-09-12,1
27,Someone You Loved,Lewis Capaldi,2019,110,Pop,2018-11-08,1
28,Ransom,Lil Tecca,2019,180,Hip-Hop,2019-05-22,1
29,If I Can't Have You,Shawn Mendes,2019,124,Pop,2019-05-03,1
30,Goodbyes,Post Malone ft. Young Thug,2019,150,Pop,2019-07-05,1
31,Zeze,Kodak Black ft. Travis Scott & Offset,2019,98,Hip-Hop,2018-10-12,1
32,Better Now,Post Malone,2019,145,Pop,2018-04-27,1
33,Youngblood,5 Seconds Of Summer,2019,120,Pop,2018-04-12,1
34,Money In The Grave,Drake ft. Rick Ross,2019,101,Hip-Hop,2019-06-15,1
35,Speechless,Dan + Shay,2019,130,Country,2018-05-18,1
36,Break Up With Your Girlfriend I'm Bored,Ariana Grande,2019,170,Pop,2019-02-08,1
37,Please Me,Cardi B & Bruno Mars,2019,134,Pop,2019-02-15,1
38,Money,Cardi B,2019,130,Hip-Hop,2018-10-23,1
39,You Need To Calm Down,Taylor Swift,2019,85,Pop,2019-06-14,1
40,Panini,Lil Nas X,2019,154,Hip-Hop,2019-06-20,1
41,Look Back At It,A Boogie Wit da Hoodie,2019,96,Hip-Hop,2018-12-07,1
42,A Lot,21 Savage,2019,146,Hip-Hop,2018-12-21,1
43,Me!,Taylor Swift ft. Brendon Urie,2019,182,Pop,2019-04-26,1
44,Mia,Bad Bunny ft. Drake,2019,160,Pop,2018-10-11,1
45,Pop Out,Polo G ft. Lil Tjay,2019,168,Hip-Hop,2019-02-01,1
46,Beautiful Crazy,Luke Combs,2019,103,Country,2018-05-04,1
47,Thotiana,Blueface,2019,104,Hip-Hop,2019-01-20,1
48,Lucid Dreams,Juice WRLD,2019,84,Hip-Hop,2018-05-04,1
49,Mo Bamba,Sheck Wes,2019,146,Hip-Hop,2017-06-16,1
50,Beautiful People,Ed Sheeran ft. Khalid,2019,93,Pop,2019-06-28,1
51,Wake Up In The Sky,Gucci Mane Bruno Mars & Kodak Black,2019,80,Hip-Hop,2018-09-14,1
52,Whiskey Glasses,Morgan Wallen,2019,150,Country,2018-07-30,1
53,God's Country,Blake Shelton,2019,140,Country,2019-03-29,1
54,Be Alright,Dean Lewis,2019,126,Pop,2018-06-29,1
55,Pure Water,Mustard & Migos,2019,101,Hip-Hop,2019-01-16,1
56,The Git Up,Blanco Brown,2019,110,Country,2019-05-03,1
57,Taki Taki,DJ Snake ft. Selena Gomez Ozuna & Cardi B,2019,96,Pop,2018-09-28,1
58,Close To Me,Ellie Goulding & Diplo ft. Swae Lee,2019,144,Pop,2018-10-24,1
59,Envy Me,Calboy,2019,149,Hip-Hop,2018-09-13,1
60,You Say,Lauren Daigle,2019,148,Pop,2018-07-13,1
61,Hey Look Ma I Made It,Panic! At The Disco,2019,107,Pop,2018-06-22,1
62,Circles,Post Malone,2019,120,Pop,2019-08-30,1
63,Beer Never Broke My Heart,Luke Combs,2019,76,Country,2019-05-08,1
64,The London,Young Thug J. Cole & Travis Scott,2019,150,Hip-Hop,2019-05-23,1
65,Con Calma,Daddy Yankee ft. Snow,2019,94,Pop,2019-01-24,1
66,Murder On My Mind,YNW Melly,2019,115,Hip-Hop,2017-03-04,1
67,When The Party's Over,Billie Eilish,2019,124,Pop,2018-10-17,1
68,Act Up,City Girls,2019,135,Hip-Hop,2018-11-16,1
69,I Like It,Cardi B Bad Bunny & J Balvin,2019,136,Pop,2018-04-06,1
70,Trampoline,SHAED,2019,127,Pop,2018-05-18,1
71,Leave Me Alone,Flipp Dinero,2019,150,Hip-Hop,2018-09-04,1
72,Breathin,Ariana Grande,2019,100,Pop,2018-08-17,1
73,Bury A Friend,Billie Eilish,2019,120,Pop,2019-01-30,1
74,Close Friends,Lil Baby,2019,135,Hip-Hop,2018-10-05,1
75,Baby Shark,Pinkfong,2019,115,Pop,2016-06-17,1
76,My Type,Saweetie,2019,105,Hip-Hop,2019-06-28,1
77,Worth It,YK Osiris,2019,140,R&B,2019-02-22,1
78,Only Human,Jonas Brothers,2019,94,Pop,2019-06-07,1
79,Knockin' Boots,Luke Bryan,2019,129,Country,2019-03-29,1
80,Trip,Ella Mai,2019,162,R&B,2018-08-03,1
81,Rumor,Lee Brice,2019,140,Country,2018-05-14,1
82,Swervin,A Boogie Wit da Hoodie ft. 6ix9ine,2019,150,Hip-Hop,2018-12-21,1
83,How Do You Sleep?,Sam Smith,2019,111,Pop,2019-07-19,1
84,Baby,Lil Baby & DaBaby,2019,108,Hip-Hop,2019-07-17,1
85,Look What God Gave Her,Thomas Rhett,2019,113,Country,2019-03-01,1
86,Good As You,Kane Brown,2019,150,Country,2018-10-19,1
87,Clout,Offset ft. Cardi B,2019,140,Hip-Hop,2019-02-22,1
88,Love Lies,Khalid & Normani,2019,144,Pop,2018-02-14,1
89,One Thing Right,Marshmello & Kane Brown,2019,88,Country,2019-06-21,1
90,Cash Shit,Megan Thee Stallion ft. DaBaby,2019,130,Hip-Hop,2019-05-17,1
91,Tequila,Dan + Shay,2019,86,Country,2018-01-10,1
92,Shotta Flow,NLE Choppa,2019,120,Hip-Hop,2019-01-17,1
93,Hot Girl Summer,Megan Thee Stallion Nicki Minaj & Ty Dolla $ign,2019,99,Hip-Hop,2019-08-09,1
94,Talk You Out Of It,Florida Georgia Line,2019,144,Country,2018-07-06,1
95,Beautiful,Bazzi ft. Camila Cabello,2019,100,Pop,2018-08-02,1
96,Eyes On You,Chase Rice,2019,97,Country,2018-08-13,1
97,"10,000 Hours",Dan + Shay & Justin Bieber,2019,90,Country,2019-10-04,1
98,Uproar,Lil Wayne,2019,99,Hip-Hop,2018-09-28,1
99,Drew Barrymore,Bryce Vine,2019,118,Pop,2018-02-26,1
100,Saturday Nights,Kane Brown ft. Khalid,2019,93,Country,2018-10-12,1
1,Blinding Lights,The Weeknd,2020,171,Pop,2019-11-29,1
2,Circles,Post Malone,2020,120,Pop,2019-08-30,1
3,The Box,Roddy Ricch,2020,117,Hip-Hop,2020-01-11,1
4,Don't Start Now,Dua Lipa,2020,124,Pop,2019-10-31,1
5,Rockstar,DaBaby featuring Roddy Ricch,2020,90,Hip-Hop,2020-04-17,1
6,Adore You,Harry Styles,2020,99,Pop,2019-12-06,1
7,Life Is Good,Future featuring Drake,2020,142,Hip-Hop,2020-01-10,1
8,Memories,Maroon 5,2020,91,Pop,2019-09-20,1
9,The Bones,Maren Morris,2020,77,Country,2019-02-22,1
10,Someone You Loved,Lewis Capaldi,2020,110,Pop,2018-11-08,1
11,Say So,Doja Cat,2020,111,Pop,2020-01-17,1
12,I Hope,Gabby Barrett featuring Charlie Puth,2020,75,Country,2019-07-29,1
13,Whats Poppin,"Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",2020,145,Hip-Hop,2020-01-21,1
14,Dance Monkey,Tones and I,2020,98,Pop,2019-05-10,1
15,Savage,Megan Thee Stallion featuring Beyoncé,2020,169,Hip-Hop,2020-04-07,0
16,Roxanne,Arizona Zervas,2020,117,Pop,2019-10-10,1
17,Intentions,Justin Bieber featuring Quavo,2020,148,Pop,2020-02-07,1
18,Everything I Wanted,Billie Eilish,2020,120,Pop,2019-11-13,1
19,Roses (Imanbek remix),Saint Jhn,2020,122,Pop,2019-09-18,1
20,Watermelon Sugar,Harry Styles,2020,95,Pop,2020-05-18,1
21,Before You Go,Lewis Capaldi,2020,112,Pop,2019-11-19,1
22,Falling,Trevor Daniel,2020,127,Hip-Hop,2018-10-09,1
23,"10,000 Hours",Dan + Shay and Justin Bieber,2020,90,Country,2019-10-04,1
24,WAP,Cardi B featuring Megan Thee Stallion,2020,133,Hip-Hop,2020-08-07,1
25,Ballin',Mustard and Roddy Ricch,2020,97,Hip-Hop,2019-08-20,1
26,Hot Girl Bummer,Blackbear,2020,130,R&B,2019-08-23,1
27,Blueberry Faygo,Lil Mosey,2020,99,Hip-Hop,2020-02-07,1
28,Heartless,The Weeknd,2020,170,R&B,2019-11-27,1
29,Bop,DaBaby,2020,127,Hip-Hop,2019-11-19,1
30,Lose You to Love Me,Selena Gomez,2020,103,Pop,2019-10-23,1
31,Good as Hell,Lizzo,2020,96,Pop,2016-03-08,1
32,Toosie Slide,Drake,2020,82,Hip-Hop,2020-04-03,1
33,Break My Heart,Dua Lipa,2020,113,Pop,2020-03-25,1
34,Chasin' You,Morgan Wallen,2020,97,Country,2019-07-29,1
35,Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo,2020,150,Pop,2020-06-11,1
36,No Guidance,Chris Brown featuring Drake,2020,93,R&B,2019-06-08,1
37,My Oh My,Camila Cabello featuring DaBaby,2020,105,Pop,2020-01-06,1
38,Dynamite,BTS,2020,114,Pop,2020-08-21,1
39,Go Crazy,Chris Brown and Young Thug,2020,94,R&B,2020-05-19,1
40,High Fashion,Roddy Ricch featuring Mustard,2020,98,Hip-Hop,2020-05-19,1
41,Laugh Now Cry Later,Drake featuring Lil Durk,2020,134,Hip-Hop,2020-08-14,1
42,Woah,Lil Baby,2020,143,Hip-Hop,2019-11-08,1
43,Death Bed,Powfu featuring Beabadoobee,2020,144,Hip-Hop,2020-02-08,1
44,Señorita,Shawn Mendes and Camila Cabello,2020,117,Pop,2019-06-21,1
45,Highest in the Room,Travis Scott,2020,76,Hip-Hop,2019-10-04,1
46,Bad Guy,Billie Eilish,2020,135,Pop,2019-03-29,1
47,Mood,24kGoldn featuring Iann Dior,2020,91,Pop,2020-07-24,1
48,Rain on Me,Lady Gaga and Ariana Grande,2020,123,Pop,2020-05-22,1
49,For the Night,Pop Smoke featuring Lil Baby and DaBaby,2020,126,Hip-Hop,2020-10-03,0
50,Ritmo (Bad Boys for Life),Black Eyed Peas and J Balvin,2020,105,Hip-Hop,2019-10-11,1
51,Heart on Ice,Rod Wave,2020,158,Hip-Hop,2019-05-31,1
52,Nobody but You,Blake Shelton and Gwen Stefani,2020,144,Country,2020-01-21,1
53,Trampoline,Shaed,2020,127,Pop,2018-05-18,1
54,Come & Go,Juice Wrld and Marshmello,2020,145,Pop,2020-07-09,1
55,Truth Hurts,Lizzo,2020,158,Pop,2019-03-22,1
56,If the World Was Ending,JP Saxe featuring Julia Michaels,2020,76,Pop,2019-10-17,1
57,We Paid,Lil Baby and 42 Dugg,2020,135,Hip-Hop,2020-05-01,1
58,Yummy,Justin Bieber,2020,146,Pop,2020-01-03,1
59,One Man Band,Old Dominion,2020,76,Country,2019-06-13,1
60,Got What I Got,Jason Aldean,2020,160,Country,2020-04-06,1
61,Sunday Best,Surfaces,2020,112,Pop,2019-06-12,1
62,Godzilla,Eminem featuring Juice Wrld,2020,166,Hip-Hop,2020-01-31,1
63,Bandit,Juice Wrld and YoungBoy Never Broke Again,2020,180,Hip-Hop,2019-10-04,1
64,Party Girl,StaySolidRocky,2020,130,Hip-Hop,2020-04-21,1
65,Die from a Broken Heart,Maddie & Tae,2020,76,Country,2019-05-06,1
66,Popstar,DJ Khaled featuring Drake,2020,163,Hip-Hop,2020-07-17,1
67,All I Want for Christmas Is You,Mariah Carey,2020,150,Pop,1994-10-29,1
68,One of Them Girls,Lee Brice,2020,96,Country,2020-04-10,1
69,Hard to Forget,Sam Hunt,2020,130,Country,2020-03-20,1
70,One Margarita,Luke Bryan,2020,90,Country,2020-04-13,1
71,Panini,Lil Nas X,2020,154,Hip-Hop,2019-06-20,1
72,Hot,Young Thug featuring Gunna,2020,112,Hip-Hop,2019-08-20,1
73,I Hope You're Happy Now,Carly Pearce and Lee Brice,2020,118,Country,2019-09-27,1
74,Emotionally Scarred,Lil Baby,2020,88,Hip-Hop,2020-04-15,1
75,Suicidal,YNW Melly featuring Juice Wrld,2020,140,Hip-Hop,2019-11-22,1
76,The Bigger Picture,Lil Baby,2020,96,Hip-Hop,2020-06-12,1
77,Only Human,Jonas Brothers,2020,94,Pop,2019-07-02,1
78,The Woo,Pop Smoke featuring 50 Cent and Roddy Ricch,2020,100,Hip-Hop,2020-07-10,1
79,Sum 2 Prove,Lil Baby,2020,124,Hip-Hop,2020-01-09,1
80,Stuck with U,Ariana Grande and Justin Bieber,2020,179,Pop,2020-05-08,1
81,Mood Swings,Pop Smoke featuring Lil Tjay,2020,180,R&B,2020-08-21,1
82,You Should Be Sad,Halsey,2020,111,Pop,2020-01-10,1
83,Dior,Pop Smoke,2020,142,Hip-Hop,2019-02-11,1
84,Supalonely,Benee featuring Gus Dapperton,2020,129,Pop,2019-11-15,1
85,Even Though I'm Leaving,Luke Combs,2020,78,Country,2019-09-09,1
86,The Scotts,The Scotts (Travis Scott and Kid Cudi),2020,130,Hip-Hop,2020-04-24,0
87,Juicy,Doja Cat and Tyga,2020,170,Hip-Hop,2019-03-01,1
88,Be Like That,"Kane Brown, Swae Lee and Khalid",2020,87,Pop,2020-07-10,1
89,Homesick,Kane Brown,2020,97,Country,2019-08-05,1
90,Rags2Riches,Rod Wave featuring ATR Son Son,2020,118,Hip-Hop,2020-04-03,1
91,Bluebird,Miranda Lambert,2020,82,Country,2019-12-09,1
92,Wishing Well,Juice Wrld,2020,150,Hip-Hop,2020-07-28,1
93,Does to Me,Luke Combs featuring Eric Church,2020,113,Country,2020-02-10,1
94,Pussy Fairy (OTW),Jhené Aiko,2020,128,R&B,2020-01-16,1
95,ILY (I Love You Baby),Surf Mesa featuring Emilee,2020,112,Pop,2019-11-26,1
96,More Than My Hometown,Morgan Wallen,2020,126,Country,2020-05-27,1
97,Lovin' on You,Luke Combs,2020,119,Country,2020-06-22,1
98,Said Sum,Moneybagg Yo,2020,127,Hip-Hop,2020-06-30,1
99,Slide,H.E.R. featuring YG,2020,97,R&B,2019-09-27,1
100,Walk Em Down,NLE Choppa featuring Roddy Ricch,2020,84,Hip-Hop,2020-03-19,1
1,Levitating,Dua Lipa,2021,103,Pop,2020-10-01,1
2,Save Your Tears,The Weeknd and Ariana Grande,2021,118,Pop,2020-08-09,1
3,Blinding Lights,The Weeknd,2021,171,Pop,2019-11-29,1
4,Mood,24kGoldn featuring Iann Dior,2021,91,Pop,2020-07-24,1
5,Good 4 U,Olivia Rodrigo,2021,167,Pop,2021-05-14,1
6,Kiss Me More,Doja Cat featuring SZA,2021,111,Pop,2021-04-09,1
7,Leave the Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),2021,148,R&B,2021-03-05,1
8,Drivers License,Olivia Rodrigo,2021,144,Pop,2021-01-08,1
9,Montero (Call Me by Your Name),Lil Nas X,2021,179,Pop,2021-03-26,1
10,Peaches,Justin Bieber featuring Daniel Caesar and Giveon,2021,90,R&B,2021-03-19,1
11,Butter,BTS,2021,110,Pop,2021-05-21,1
12,Stay,The Kid Laroi and Justin Bieber,2021,170,Pop,2021-07-09,1
13,Deja Vu,Olivia Rodrigo,2021,181,Pop,2021-04-01,1
14,Positions,Ariana Grande,2021,144,Pop,2020-10-23,1
15,Bad Habits,Ed Sheeran,2021,126,Pop,2021-06-25,1
16,Heat Waves,Glass Animals,2021,81,Pop,2020-06-29,1
17,Without You,The Kid Laroi,2021,93,Pop,2020-12-18,1
18,Forever After All,Luke Combs,2021,152,Country,2020-10-23,1
19,Go Crazy,Chris Brown and Young Thug,2021,94,R&B,2020-05-19,1
20,Astronaut in the Ocean,Masked Wolf,2021,150,Hip-Hop,2019-06-07,1
21,34+35,Ariana Grande featuring Doja Cat and Megan Thee Stallion,2021,110,Pop,2020-11-03,1
22,What You Know Bout Love,Pop Smoke,2021,84,R&B,2020-10-09,1
23,My Ex's Best Friend,Machine Gun Kelly featuring Blackbear,2021,125,Pop,2020-08-07,1
24,Industry Baby,Lil Nas X and Jack Harlow,2021,150,Hip-Hop,2021-07-23,1
25,Therefore I Am,Billie Eilish,2021,94,Pop,2020-11-12,1
26,Up,Cardi B,2021,166,Hip-Hop,2021-02-05,1
27,Fancy Like,Walker Hayes,2021,80,Country,2021-08-02,1
28,Dakiti,Bad Bunny and Jhay Cortez,2021,110,Pop,2020-10-30,1
29,Best Friend,Saweetie featuring Doja Cat,2021,94,Hip-Hop,2021-01-07,1
30,Rapstar,Polo G,2021,81,Hip-Hop,2021-04-09,1
31,Heartbreak Anniversary,Giveon,2021,130,R&B,2020-02-21,1
32,For the Night,Pop Smoke featuring Lil Baby and DaBaby,2021,126,Hip-Hop,2020-10-03,0
33,Calling My Phone,Lil Tjay and 6lack,2021,105,R&B,2021-02-10,1
34,Beautiful Mistakes,Maroon 5 featuring Megan Thee Stallion,2021,99,Pop,2021-03-03,1
35,Holy,Justin Bieber featuring Chance the Rapper,2021,87,Pop,2020-09-18,1
36,On Me,Lil Baby,2021,78,Hip-Hop,2020-12-04,1
37,You Broke Me First,Tate McRae,2021,124,Pop,2020-04-17,1
38,Traitor,Olivia Rodrigo,2021,101,Pop,2021-08-10,1
39,Back in Blood,Pooh Shiesty featuring Lil Durk,2021,147,Hip-Hop,2020-11-06,1
40,I Hope,Gabby Barrett featuring Charlie Puth,2021,75,Country,2019-07-29,1
41,Dynamite,BTS,2021,114,Pop,2020-08-21,1
42,Wockesha,Moneybagg Yo,2021,82,Hip-Hop,2021-08-10,1
43,You Right,Doja Cat and the Weeknd,2021,129,R&B,2021-06-25,1
44,Beat Box (Remixes),SpotemGottem featuring Pooh Shiesty and DaBaby,2021,160,Hip-Hop,2020-12-18,1
45,Laugh Now Cry Later,Drake featuring Lil Durk,2021,134,Hip-Hop,2020-08-14,1
46,Need to Know,Doja Cat,2021,130,Hip-Hop,2021-08-31,1
47,Wants and Needs,Drake featuring Lil Baby,2021,136,Hip-Hop,2021-03-05,1
48,Way 2 Sexy,Drake featuring Future and Young Thug,2021,136,Hip-Hop,2021-09-03,1
49,Telepatía,Kali Uchis,2021,84,Pop,2020-11-18,1
50,Whoopty,CJ,2021,140,Hip-Hop,2020-07-30,1
51,Lemonade,Internet Money and Gunna featuring Don Toliver and Nav,2021,140,Hip-Hop,2020-08-14,1
52,Good Days,SZA,2021,121,R&B,2020-12-25,1
53,Starting Over,Chris Stapleton,2021,89,Country,2020-08-28,1
54,Body,Megan Thee Stallion,2021,94,Hip-Hop,2020-11-20,1
55,Willow,Taylor Swift,2021,81,Pop,2020-12-11,1
56,Bang!,AJR,2021,140,Pop,2020-02-12,1
57,Better Together,Luke Combs,2021,138,Country,2020-10-12,0
58,You're Mines Still,Yung Bleu featuring Drake,2021,83,R&B,2020-10-16,1
59,Every Chance I Get,DJ Khaled featuring Lil Baby and Lil Durk,2021,150,Hip-Hop,2021-05-11,1
60,Essence,Wizkid featuring Justin Bieber and Tems,2021,104,R&B,2020-10-30,1
61,Chasing After You,Ryan Hurd and Maren Morris,2021,132,Country,2021-02-12,1
62,The Good Ones,Gabby Barrett,2021,90,Country,2020-06-08,1
63,Leave Before You Love Me,Marshmello and Jonas Brothers,2021,120,Pop,2021-05-21,1
64,Glad You Exist,Dan + Shay,2021,104,Country,2021-02-05,1
65,Lonely,Justin Bieber and Benny Blanco,2021,79,Pop,2020-10-16,1
66,Beggin',Måneskin,2021,134,Pop,2017-12-08,1
67,Streets,Doja Cat,2021,90,R&B,2019-11-07,1
68,What's Next,Drake,2021,130,Hip-Hop,2021-03-05,1
69,Famous Friends,Chris Young and Kane Brown,2021,102,Country,2020-11-20,1
70,Lil Bit,Nelly and Florida Georgia Line,2021,120,Country,2020-10-23,1
71,Thot Shit,Megan Thee Stallion,2021,130,Hip-Hop,2021-06-11,1
72,Late at Night,Roddy Ricch,2021,98,Hip-Hop,2021-06-04,1
73,Kings & Queens,Ava Max,2021,130,Pop,2020-03-12,1
74,Anyone,Justin Bieber,2021,116,Pop,2021-01-01,1
75,Track Star,Mooski,2021,130,Hip-Hop,2020-06-17,1
76,Time Today,Moneybagg Yo,2021,137,Hip-Hop,2021-02-03,1
77,Cry Baby,Megan Thee Stallion featuring DaBaby,2021,130,Hip-Hop,2021-02-03,1
78,All I Want for Christmas Is You,Mariah Carey,2021,150,Pop,1994-10-29,1
79,No More Parties,Coi Leray featuring Lil Durk,2021,157,Hip-Hop,2021-02-19,1
80,What's Your Country Song,Thomas Rhett,2021,174,Country,2020-11-11,1
81,One Too Many,Keith Urban and Pink,2021,83,Country,2020-09-16,1
82,Arcade,Duncan Laurence,2021,72,Pop,2019-03-07,1
83,Yonaguni,Bad Bunny,2021,180,Pop,2021-06-04,1
84,Good Time,Niko Moon,2021,138,Country,2020-03-16,1
85,If I Didn't Love You,Jason Aldean and Carrie Underwood,2021,184,Country,2021-07-23,1
86,Knife Talk,Drake featuring 21 Savage and Project Pat,2021,146,Hip-Hop,2021-11-16,1
87,POV,Ariana Grande,2021,132,R&B,2021-03-23,0
88,Just the Way,Parmalee and Blanco Brown,2021,90,Country,2019-12-13,1
89,Take My Breath,The Weeknd,2021,121,Pop,2021-08-06,1
90,We're Good,Dua Lipa,2021,134,Pop,2021-02-11,1
91,Hell of a View,Eric Church,2021,99,Country,2020-11-09,0
92,Rockin' Around the Christmas Tree,Brenda Lee,2021,67,Pop,1958-11-24,1
93,Put Your Records On,Ritt Momney,2021,91,Pop,2020-04-24,1
94,Happier Than Ever,Billie Eilish,2021,81,Pop,2021-07-30,1
95,Single Saturday Night,Cole Swindell,2021,82,Country,2020-05-22,1
96,Things a Man Oughta Know,Lainey Wilson,2021,140,Country,2020-08-24,1
97,Throat Baby (Go Baby),BRS Kash,2021,132,Hip-Hop,2020-07-24,1
98,Tombstone,Rod Wave,2021,84,Hip-Hop,2021-03-23,1
99,Drinkin' Beer. Talkin' God. Amen.,Chase Rice featuring Florida Georgia Line,2021,100,Country,2020-11-13,1
100,Todo de Ti,Rauw Alejandro,2021,128,Pop,2021-05-20,1
1,Heat Waves,Glass Animals,2022,81,Pop,2020-06-29,1
2,As It Was,Harry Styles,2022,174,Pop,2022-04-01,1
3,Stay,The Kid Laroi & Justin Bieber,2022,170,Pop,2021-07-09,1
4,Easy on me,Adele,2022,142,Pop,2021-10-15,1
5,Shivers,Ed Sheeran,2022,141,Pop,2021-09-10,1
6,First Class,Jack Harlow,2022,107,Hip-Hop,2022-04-08,1
7,Big Energy,Latto,2022,106,Hip-Hop,2021-09-24,1
8,Ghost,Justin Bieber,2022,154,Pop,2021-09-10,1
9,Super Gremlin,Kodak Black,2022,73,Hip-Hop,2021-10-30,1
10,Cold Heart (Pnau Remix),Elton John & Dua Lipa,2022,116,Pop,2021-08-13,1
11,Wait for U,Future ft. Drake & Tems,2022,83,Hip-Hop,2022-04-29,1
12,About Damn Time,Lizzo,2022,109,Pop,2022-04-14,1
13,Bad Habits,Ed Sheeran,2022,126,Pop,2021-06-25,1
14,Thats What I want,Lil Nas X,2022,88,Pop,2021-09-17,1
15,Enemy,Imagine Dragons & JID,2022,77,Pop,2021-08-28,1
16,Industry Baby,Lil Nas X & Jack Harlow,2022,150,Hip-Hop,2021-07-23,1
17,ABCDEFU,Gayle,2022,122,Pop,2021-08-13,1
18,Need to Know,Doja Cat,2022,130,Pop,2021-06-25,1
19,Wasted on You,Morgan Wallen,2022,196,Pop,2021-01-08,1
20,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022,92,Pop,2021-05-06,1
21,Woman,Doja Cat,2022,108,R&B,2021-06-25,1
22,Titi Me Pregunto,Bad Bunny,2022,107,Pop,2022-05-06,1
23,Running up That Hill (A Deal with God),Kate Bush,2022,108,Pop,1985-08-05,1
24,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa Rhenzy Feilz,  Diane Guerrero,  Stephanie Betriz & the Encanto Cast",2022,206,Pop,2022-01-07,1
